"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Gambia, The","GMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","54885","56843","58086","60014","61374","62209","58669","56367","55151","52920","46767","44435","42567","42344","41148","43300","","","","67602","","77763","76280","","","74951","","81663","66687","77208","80868","89115","84443","85956","93141","82624","79013","91782","","92158","95869","89323","92410","95642","78511","74977","68730","65020","54332","48762","",
"Guinea-Bissau","GNB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","64136","55369","","63414","66384","","83327","88382","","","","","","","","","","","","100560","","","","","","","","","","64225","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23795","","","","","","24570","20374","22752","25175","","","","","59450","63547","67334","68909","70017","","","83611","","","","","","",
"Greece","GRC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","72696","67998","57918","43956","41154","39881","45428","52207","61186","75922","61472","58963","51169","51774","53148","61816","82283","75041","78994","80264","80829","93834","105154","104337","87306","84591","72936","20251","14294","5829","15335","15679","17047","20156","26937","28186","28325","","","19065","18008","14567","13271","18984","14097","9878","8147","9246","5679","","",
"Grenada","GRD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","3804","","","","","393","200","246","675","1479","1997","1988","1573","","","","","","","","","","","","","","","45","","","80","","42","486","","37","25","","","","","","","","","","94","","","",
"Greenland","GRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","500330","500850","506370","","519978","522671","","","543477","553498","547186","527412","580701","552430","","","","","","","","","","","","","","518553","","308983","273936","304733","250784","","170901","144106","114479","96836","101529","","","104773","176161","231566","276594","282536","296224","271393","246375","248887","246359","",
"Guam","GUM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","17367","15634","","12236","","17336","11174","","15693","","","14831","","","","","","","","","8758","11100","12757","","10679","12094","","","","","","","8185","","","","","2053","8051","3765","1800","1732","","","","","","","","","",
"High income","HIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7663039","7659233","7715317","7335651","7566102","7240155","6662962","6495802","6292231","6201810","4284790","4385093","4077242","4562950","4863572","4749478","4178978","3614856","3307376","3082986","2894632","3002548","3432285","3579475","3658139","3367619","3448411","3637975","2425048","2310889","2369849","2392017","2590894","2480595","2299327","1687143","1547543","1367865","1185222","1436978","1283174","1384296","1376913","1516785","1346879","1070483","741370","882907","950498","1051972","1067082","",
"Hong Kong SAR, China","HKG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","71739","64341","63343","52278","40557","32388","24418","25726","23637","3693","5144","8884","10777","14225","20156","","","","","","","","","","29484","29412","","","","","","","","","","","","","","","","1420","1462","2109","3277","5643","7432","8187","","8627","",
"Honduras","HND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","167915","152261","153650","","94562","87148","82980","","89804","","","","","119815","","113700","","","","","","","150360","","","110666","107323","165728","124991","194409","157304","172729","158684","155569","196726","233345","241802","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","23305504","23574850","23959476","23706654","23485680","23327774","23348060","23452450","23266348","23270220","24188652","24469782","25254122","26027358","26706712","28021622","28922670","30468696","32061334","32216310","33800116","34975928","35344504","34937928","35766504","34632136","35447560","36370536","35673264","34526344","32576748","31031436","29553420","28020780","26366004","25130620","22565242","22910828","23559844","22767588","22458828","22038780","22078136","23001100","22775716","23043114","23467568","23194886","23828056","",
"Croatia","HRV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36190","16179","12763","4998","614","502","","1817","1691","1925","5011","15848","9034","4785","1905","2218","1950","1851","2636","2304","2766","3739","","",
"Haiti","HTI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","529316","526472","487909","461752","506528","476560","473662","581119","","","","","","","","","","545942","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40630","45995","107184","64961","8091","6949","15664","11848","9455","14417","15193","11241","8557","11712","7671","5777","6536","9545","11670","12385","11716","11069","8646","9986","17172","20865","","",
"IBRD only","IBD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","72329664","74680984","74147128","67861032","66422376","63937768","63696452","66573288","74364976","75151072","72716696","69621296","68168096","66460272","63633460","58336688","52242188","49548228","46435688","41979112","41594976","41693268","43457128","43330336","44017068","47552180","48574776","50926824","46708680","39685096","36465156","34295672","32815300","26593360","24174096","21772414","20219852","14941354","14325460","15544284","14602617","15746277","13995660","13264912","16895484","16630222","16938592","16622953","16715499","16918334","17448352","",
"IDA & IBRD total","IBT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","117377872","120871544","119738208","112543328","111656952","108691376","108374312","110841056","118628280","118653440","115761736","112086696","110983992","109919952","108745680","105460080","101826888","101299520","98723968","96305864","97929256","98246672","101194904","102095984","103562592","107821960","111181944","112264792","108499464","102048336","96464672","92701456","88962560","79704872","74040656","69327984","67531840","59178248","58294016","59208852","59020756","59226896","57624680","56174168","59765160","62028224","61459936","61794544","60530600","61574632","62908884","",
"IDA total","IDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","45592000","44683536","45238408","44758960","44682616","44271256","44264760","43502540","43045508","42466488","42818860","43461772","45112856","47124084","49587720","51754192","52292632","54330320","56339968","56562624","57759504","58805840","59587056","60299900","62629176","61369312","61814380","62381648","60012640","58418392","56163172","53143116","49882392","47575132","47318276","44238872","43968892","43664784","44418968","43481572","43630528","42917604","42878596","45404096","44523348","45173464","43817160","44659348","45462156","",
"IDA blend","IDB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20262396","19866784","19130032","18914868","19260496","18436506","16987916","16624250","18209956","16311471","18353692","17921780","18067460","18316536","18703196","18040822","17710064","19291056","18645464","19027488","17659756","18836050","19179382","",
"Indonesia","IDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5478072","5418806","","5778477","5434293","4961158","4573284","3192896","","","2293590","936747","618197","557741","536805","695426","492897","571364","549892","986292","1236019","1478239","1811074","1672716","1718803","2004165","2005326","","","","1005842","1195553","1339065","1551268","1822157","1472991","829576","1068971","871223","763385","890102","1141798","1767974","1919777","","1778716","1402639","1555014","","","",
"IDA only","IDX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","31686220","32642932","31952132","30930940","31776542","31053820","30636618","30602648","30646092","30791384","30579190","30650358","31607550","32126826","33159256","34315760","35191168","36561444","36029632","37297720","38973840","38760344","39841644","40975412","41210156","41002744","41609116","40713700","41528384","42496452","40869488","39490912","36886768","34675008","32878648","30931316","29102028","27925424","25614864","25742788","26350680","25164080","24925826","24868436","25159614","26106946","25875878","26144100","26155344","25820248","26281152","",
"Isle of Man","IMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","28305500","","","","","","","","","","","","","","","","","","","24350652","","","","","","","","","","19457444","19595256","19909724","14109172","","","","4019535","3974854","5641942","4922041","5445603","3838679","2887748","","","","","","","6545825","",
"Not classified","INX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","7874","10756","10159","14556","15479","15122","15259","15914","19426","24905","33078","42066","49272","","","55484","52555","48446","46238","44373","46141","49210","49741","48256","45534","40646","","1053","441","179","795","952","83","402","1139","526","806","354","128","981","621","294","376","197","263","64","159","10","773","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1936370","","","","","","","","","","","","","998138","1046433","1049947","1098344","1114029","1157477","718115","","441311","","","","","776795","","1256206","1133234","","208594","271663","146292","292227","248369","277328","","123000","187633","180715","111986","81693","25748","16263","15497","16911","","5979","11150","",
"Iraq","IRQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","664238","659301","653081","648170","691786","566314","569485","558033","235972","156337","178355","","298118","","340258","328918","286941","260917","296990","","","","677957","","","814051","","","365161","416463","","","227154","290707","","","322414","","","","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","226","","","","","","","","","","","","","","","","","792","","599","453","144","333","324","226","225","548","1081","1009","837","568","230","83","207","358","524","564","537","408","143","15","19","67","","",
"Israel","ISR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3060","2839","874","1049","972","313","145","1394","641","827","676","587","570","360","123","798","828","2754","2210","2791","4572","","",
"Italy","ITA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","23301","","","73661","","","22124","","","","","","38417","","","","","","","","","","84355","50276","24286","","3215","2601","6719","8070","10143","8991","15632","17165","16602","16166","13750","11182","13259","7300","3241","23760","42103","58288","71841","89218","98239","","",
"Jamaica","JAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","17904","27704","25551","","12454","12264","12495","","8825","12872","15238","14315","7338","17450","6191","8689","14315","","24897","","","","","","29175","24357","24426","27185","31549","24740","31439","","","","","","","","","","","","","","","","",
"Jordan","JOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","39432","24122","17536","16912","15225","12830","10112","12449","35883","47340","50634","65375","68472","65955","","","","","","","","","","","","","","71476","66570","","54220","45090","43904","52733","68605","93344","121508","","192312","227861","272581","293678","","","309021","271105","264821","261790","281509","",
"Japan","JPN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","66887","113590","168152","335377","229622","133651","88993","138422","115674","7094","53368","171135","211155","183531","72091","13720","13811","14629","15169","18035","65579","96505","","42510","20775","","","157677","173671","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66578","1028","2193","4494","3350","3311","7566","10722","1022","1078","3203","3727","2357","2428","1070","298","2263","10277","13169","12924","144986","",
"Kenya","KEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2065704","1928475","1514428","1676985","951859","1095509","1113933","1218340","628425","902280","762569","","","1381464","","","","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36176","","","26187","30920","26435","26919","27157","5290","16642","10813","14806","16605","18856","15815","16572","6257","1763","1458","1668","1675","1363","1414","2574","642","",
"Cambodia","KHM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347933","313863","275305","143783","","","40818","","","97167","79763","98017","","117131","40924","40982","","84830","82584","134186","180125","186109","190043","222938","",
"Kiribati","KIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","132","","27","","65","59","125","283","642","","193","","35","8","157","134","245","247","132","","","","","","","","","","","","","","","","","192","385","280","645","","","554","",
"St. Kitts and Nevis","KNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","47","1014","830","","86","73","","","","","","","","","","","","","297","115","137","22","","133","186","","132","","17","13","4","","54","","","","","",
"Korea, Rep.","KOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","223553","133915","173330","192131","172973","123275","171065","153380","66805","1775","2798","9934","12601","43881","70512","83076","25038","5417","5477","10363","12040","19090","28457","41589","59062","66846","53888","59220","52178","30861","73566","86525","53646","56203","9834","8174","5168","752","10990","6960","9806","59852","128360","113250","39617","74350","66235","25225","271","","",
"Kuwait","KWT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","32569","32596","31347","31881","32487","33189","29253","19402","22852","26271","25941","25198","21639","19724","17501","18458","28727","33759","","","","105205","","51631","","14490","14655","6853","7075","12198","13404","9822","11139","8649","14076","","2764","2893","","2073","1139","1323","2658","3108","4311","7290","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","5956124","5977380","5912090","5687418","5486855","5504870","5322088","4993797","4827139","4141459","4031373","3643951","3635197","3668390","3762609","3626845","3797066","3787997","4015475","4518454","4353052","4326203","3948682","3767212","4025190","4034737","3699320","3775876","2433190","1673003","1511222","1520101","1301775","1572328","1650055","1327661","1220307","1159570","1090292","1202585","1354427","1703070","1645630","1533482","1630136","1573662","1557835","1434344","1345353","1271939","1334352","",
"Lao PDR","LAO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191324","","203010","","255458","233804","217807","","218996","207930","189801","190142","187660","194810","188090","168042","161871","149792","135371","113276","93335","75042","40049","41583","41419","27479","25400","38109","45232","57256","65377","64860","63422","",
"Lebanon","LBN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","7118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209139","","","","","","","","","316739","","","","","","47513","","","159479","","","","",
"Libya","LBY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","74294","49693","34706","27535","27018","21491","20117","34811","","17845","19234","","12385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","1918","1422","230","308","0","0","","","","630","","","","","","","","","","2049","1934","284","297","1126","1428","959","1075","","","","","","","","235","219","228","222","260","497","",
"Latin America & Caribbean","LCN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","6485965","6517810","6452347","6234777","6084014","6094703","5851428","5502410","5315814","4632503","4506188","4041808","4034905","4095594","4253220","4094616","4286564","4314171","4560836","5048403","4833290","4701263","4300201","4145669","4480475","4566938","4310864","4835486","2965257","2199242","1968570","1923377","1605451","1941368","1934216","1629512","1505094","1378650","1369583","1446310","1553819","1923677","1876821","1802188","1938609","1881947","1925731","1837288","1726638","1635841","1695302","",
"Least developed countries: UN classification","LDC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","30350960","31287148","30554982","29539124","30310172","29517096","29105972","29040816","29033432","29181620","28962128","29135070","30170916","30656764","31635720","32862444","33608304","34997984","34402080","35669396","37276496","37219792","38341328","39359844","39650592","39352700","39885968","39008136","39831072","40768884","39301188","37848016","35372576","32964962","31141156","29110684","27235584","26320304","24088462","24195804","25048756","24155554","24019064","23585086","23895180","25271192","25510370","25938406","26170210","26085382","26380404","",
"Low income","LIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","18769102","18918176","19187568","19161916","19180444","19069996","19454292","19652310","19458124","19424032","20219948","20399836","20808724","21383438","21808424","22788148","23347848","24626182","25881620","25962124","27297476","28209084","28403656","27856024","28556100","27642798","28341166","29119390","28822204","28152032","27322876","26189352","25126100","23874962","22768968","21997324","19902280","19901732","20641500","19848510","19770078","19550124","19901330","21009368","21142232","21404156","21486156","21575852","21867244","",
"Liechtenstein","LIE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","9","100","23","23","16","30","15","24","29","","44","1","6","3","3","2","","",
"Sri Lanka","LKA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","380024","","","","","","","","","34045","","","","","","","","","","","","","","","1967","1255","6193","51040","45427","54462","61528","76994","115909","89067","87520","83509","61328","45261","16394","16400","12419","9296","","","",
"Lower middle income","LMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","68793160","70228528","68895192","66588680","67843624","66164500","65490452","62934876","64023952","64118184","62355276","60971168","58970316","58152948","58187400","59799836","60347552","63146092","62094956","60752672","62251940","62901528","63495040","62112352","60746484","62450472","63072656","63434512","64199616","62645104","58115184","55956744","54521856","47205272","42601732","39400224","37470388","31421036","32675838","33388072","32173672","32714266","31229170","30218094","33557296","34970940","34020304","34011616","32696956","33376640","34181272","",
"Low & middle income","LMY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","116836752","120327728","119240768","112052136","111109616","108116056","107841360","110314032","118109024","118147808","115305936","111770304","110729408","109634632","108410368","105156808","101486400","100896856","98298640","95840080","97468496","97885352","100825480","101741040","103101360","107231224","110500352","111188144","107991752","101527672","96008976","92311664","88653224","79321824","73729344","69004832","67246760","58962652","58023308","58959360","58839572","59056408","57471144","56010868","59621352","61915196","61300824","61604440","60368600","61442656","62781044","",
"Lesotho","LSO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","82106","91613","92420","94081","79829","","83492","84642","103548","104523","107506","110774","103571","108607","109529","106106","109933","109301","109665","115695","122867","120866","122716","133219","131258","135855","136079","","162947","172828","95107","86658","75130","63593","60828","52917","44134","48465","42491","40156","33563","33121","32551","29491","28626","23616","16355","7408","","","","",
"Late-demographic dividend","LTE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","17114832","12769986","10617794","9204234","8614298","8704437","9333785","10343325","12306749","14799297","16673651","18486988","14119710","9001251","8321058","7667942","6750288","6121119","6154188","5870340","6927261","5377219","4766064","4908372","4997109","5206488","4759655","4487521","4441526","4302454","4362294","4246207","3893157","4210326","4377126","",
"Lithuania","LTU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353","65","242","639","480","197","254","293","312","276","163","148","48","99","136","148","72","87","108","247","201","116","","",
"Luxembourg","LUX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","2777","3149","2447","2725","2809","2963","3027","","","5829","4149","4337","4576","","4486","5286","3753","","","","","","","","","","","601","729","816","756","1413","1202","589","406","376","653","","1547","1713","1271","1313","1019","384","87","208","369","232","","",
"Latvia","LVA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","581","","","","","","","","","10","972","958","852","1639","2115","2262","2406","2107","1854","1382","1421","","",
"Macao SAR, China","MAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2818","","5310","","","","","","","4311","4762","5827","5504","5325","4980","4743","4694","4000","3908","4122","4018","3604","3193","2787","1890","1144","577","655","902","373","1207","",
"St. Martin (French part)","MAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1527415","1535708","1559917","","1534307","1469874","1385574","1310688","1256887","1194892","1128819","1127947","1075416","1020396","1075982","1148455","1229119","1307463","1404011","1410722","1722063","1738425","1679793","1587682","1475539","1373244","1294838","1307153","885504","765766","671533","574274","511113","511221","472066","412310","349273","329062","363630","242333","205179","228065","178992","203684","","162240","89998","7804","16064","17612","",
"Monaco","MCO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267","595","818","878","880","2578","1036","",
"Madagascar","MDG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","369372","","","","","","","","","","","","","","","","","546631","582265","","","","","838703","819866","","","737312","722991","720545","736090","529288","","","","","","","","","","","","","","","66840","80511","","",
"Maldives","MDV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2642","","1366","1217","313","425","","155","357","110","166","177","","","","","","","195","1192","1927","1671","1009","","",
"Middle East & North Africa","MEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","8564620","8832258","8285077","8213542","8227566","7864391","7507510","7344771","7243981","7633808","7200664","7475322","7335379","7340930","7165166","7262962","7206478","7129136","7117333","7361210","6682427","6674082","7713546","7769339","7250888","7791258","7093397","7144644","7233007","6918324","6398065","5348596","4548207","4188274","3851841","3967195","4027143","3453378","3135836","2793679","2322520","2344683","1986473","2397917","2627967","2600672","2659470","2618011","2574243","2643842","2688541","",
"Mexico","MEX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1717385","","","","","","1246506","","","","","","","","32652","0","0","115520","433730","209888","257508","226919","285396","392900","461881","529379","529542","442046","13655","2420","14999","26525","31635","36460","21959","11664","1966","9196","2309","18757","35529","44730","54731","67610","77591","88053","97717","93645","106131","","",
"Marshall Islands","MHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","531","","","","2378","2251","","","2351","2675","",
"Middle income","MIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","98876248","102021864","100471664","93133960","91922048","88954136","88660912","91244040","98654736","98495496","95847808","92346272","90509456","89234800","87601648","83773376","79677976","78108704","74950792","71213904","71586880","71923224","73528000","73531952","74697704","79375200","81944256","83545352","79650592","72408288","67186768","64159632","61330348","53132476","48603244","45129864","44477792","36965328","38121028","39057628","38198072","39207900","37701064","36460744","39720024","40905828","40158592","40200280","38882448","39866804","40913800","",
"North Macedonia","MKD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11272","11362","3005","4840","5781","7296","6518","6596","8664","7927","11223","9218","5079","","10394","11377","9919","6141","","1062","781","","","",
"Mali","MLI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","722187","727682","740030","734796","","","780422","","","","","","","","","","","","","","","","","","","","","","957070","","","897316","925765","955377","882923","881602","863767","","762773","766727","771049","860817","1016025","1032866","1156190","1156107","1032074","1343000","","","",
"Malta","MLT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","6943","7217","7554","6919","5609","3675","2024","967","694","1414","1991","2069","2641","2311","1218","1377","1793","1869","1678","1458","1410","1431","1317","1716","1389","862","554","","","","","","","","","","","","","","168","25","77","175","166","295","57","","","","",
"Myanmar","MMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1483434","","1273798","1687315","","","","1601523","","","","","","","","","","","","","","","","","","","","","","509055","451023","554804","467899","544703","563381","578790","565528","524682","575412","574334","","","","196697","","","112231","91889","","","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7877413","8114378","7548504","7452769","7439186","7053229","6665990","6479854","6352433","6691226","6226766","6461131","6292352","6268703","6075778","6151697","6085262","5988074","5950377","6163389","5452473","5384658","6407834","6481859","5993060","6587857","5952261","6053674","6210117","5947574","5463407","4456614","3714037","3406597","3131936","3303891","3448224","2987081","2755874","2501337","2196952","2220835","1948241","2288624","2522554","2565459","2582241","2466535","2388924","2410965","2448926","",
"Montenegro","MNE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","1242","1273","","","589","1027","","","1680","2140","1097","784","2","26","",
"Mongolia","MNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","4811","","","9284","","","","8590","","","","","","","","34408","28866","37725","28938","24154","18273","14278","16204","31752","15524","19372","6214","1945","604","687","1257","1335","2050","8849","9516","6397","1761","1672","2151","1948","","",
"Northern Mariana Islands","MNP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","865986","","","","","","766902","","834460","865952","669390","","657571","686603","924220","1013680","1028206","1020915","1063505","1119479","1169625","1175015","1151147","","","1599731","1522352","1435782","1325554","1527412","","1132053","966629","843000","657619","538724","511698","470189","597664","604749","561413","534910","461026","513572","576566","353839","143339","52869","",
"Mauritania","MRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","201074","","","","","","","","","200176","181245","172293","","165516","170295","171187","157680","161472","149442","119295","128176","118297","116312","136998","144065","145484","145950","156482","144732","135997","","164677","138310","129168","156142","","",
"Mauritius","MUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","34892","33377","31361","28727","27743","22569","25692","29554","28822","23867","15497","11117","6785","118","2018","441","679","832","3472","9004","","8637","7385","6232","3550","2507","143","360","292","598","824","1151","2153","775","715","734","454","1090","1209","1338","4732","2305","1229","1063","1426","1008","1156","1209","","279",
"Malawi","MWI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36746","","","","","32945","33839","47433","113643","51716","43648","","","","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","249598","261730","245123","","","","","","","","","","","","","","","","","","","","","","77511","","","","126645","91810","48608","67587","106205","91239","19793","13035","149606","160731","162369","135221","122105","94129","45955","10412","3277","14470","5297","10381","7685","41336","47580","",
"North America","NAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","4595664","4497410","4148437","3955763","3745398","3734006","2049225","2043857","1516069","1740555","1916761","1809877","1445918","1060186","822007","577564","335636","282054","503757","764771","932411","753054","1001290","813624","625032","485148","569221","628980","683071","600604","520806","210807","202623","160072","142640","427243","511361","600584","646997","724323","512449","455638","90004","107601","146692","231759","243570","",
"Namibia","NAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60494","61297","","55839","","52485","50947","53692","50477","43996","42206","36328","30111","22815","21958","30058","29584","39462","29763","30748","28187","24953","","12748","4095","","","","5446","5999","","","",
"New Caledonia","NCL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
