"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26031","21087","10474","7670","8994","8479","11724","10566","8187","11162","7890","588","152","886","450","514","6389","11428","15467","21711","29488","34641","39977","43662","","",
"Bahrain","BHR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","8601","7500","7142","6682","5605","7132","7407","8520","8456","7853","8154","9014","7985","6543","4470","1965","2344","933","526","","352","1848","1265","1362","595","96","270","40","184","1391","3923","4217","5426","5986","8175","7018","","","","","7477","6848","5702","3777","1408","1350","585","1188","2770","","",
"Bahamas, The","BHS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","0","29","1174","206","0","352","","","","877","0","","","1294","","","","","","","","4053","3959","2606","","","","","3121","","","","","3889","3445","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76656","","","","","","0","3029","2270","7454","7152","4997","3840","","","2298","2463","2022","6252","7716","5885","2107","3556","5544","14012","23914","",
"Belize","BLZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227","1315","2542","","2542","1832","2155","1858","2119","1643","1287","815","1048","115","436","293","190","240","148","302","221","69","",
"Bermuda","BMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","1345","1453","","","","","810","666","","","","","","","","","","","","","","","","","","","","124","","","","","","164","315","","","","","","","","","",
"Bolivia","BOL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2976","324","1681","4085","4285","6550","9648","7863","7308","6525","3437","30503","71018","107307","148890","157794","160472","154801","140451","118356","95364","80331","69047","",
"Brazil","BRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182506","287197","75560","","105832","","314651","","769460","324985","67194","19703","103343","118005","54275","72329","80305","","",
"Barbados","BRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5164","4461","4081","","","358","497","523","337","","1712","1721","1120","","","","","","76","601","","2578","","","","","","","130","557","667","1462","1488","1676","1824","1101","575","282","625","500","981","","","1449","905","418","719","328","212","512","",
"Brunei Darussalam","BRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","2657","2730","5546","5815","7195","7921","7720","7574","","6623","","","","","3554","2973","2064","2053","756","","","","","","","","","","","","","","157","","","106","167","62","260","59","145","295","225","678","",
"Bhutan","BTN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","48225","48040","","","","","","","","","","","","","","","","","","","50326","50025","47316","44522","","","","32516","27775","","20625","15353","12718","11078","8424","8830","","9398","9687","9574","7456","","3252","",
"Botswana","BWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","63041","69643","70374","71409","67614","59714","54730","50022","50945","50450","44678","36064","","28659","28103","24245","22539","21321","20993","20113","21541","16491","18645","20099","20427","47935","46895","","40163","43253","40855","37115","36871","36613","33780","32074","29540","34451","38945","41193","","","35318","35645","36284","","","","","","","",
"Central African Republic","CAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","134223","130806","127863","","","","152084","156238","","","150401","148118","145509","","","143646","191312","206884","213254","179839","207761","","","","","","","","","","","","","","338046","344213","301355","249036","255353","244035","264970","252222","","","","","","","","","",
"Canada","CAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","85306","90595","102576","105856","99327","98590","99485","95115","95965","38464","44684","83173","96858","124213","102557","","20398","1742","1937","","","","","","","","","","","","12027","12482","13487","9238","1013","2753","5025","6652","","",
"Central Europe and the Baltics","CEB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440466","249506","275849","276269","252510","253429","255998","251840","254805","243401","207230","189675","179771","160742","165109","155687","172337","192673","207711","232060","252049","262743","246974","240937","",
